name,ticker,operationType,date,isMarginCall,instrumentType,figi,payment,currency,status,id,quantity,quantityExecuted,price
En+ Group,ENPG,Buy,2021-10-04,,Stock,ENPG,-839352.73,RUB,,,1000,1000,839.35273
UC RUSAL,RUAL,Sell,2021-10-04,,Stock,RUAL,977296.95,RUB,,,14000,14000,69.806925
DVMP,FESH,Sell,2021-10-04,,Stock,FESH,1104142.01,RUB,,,40000,40000,27.60355025
Globaltrans,GLTR,Buy,2021-10-04,,Stock,GLTR,-1205796.69,RUB,,,2000,2000,602.898345
Petropavlovsk,POGR,Buy,2021-10-08,,Stock,POGR,-8645.78,RUB,,,400,400,21.61445
Petropavlovsk,POGR,Sell,2021-10-14,,Stock,POGR,9518.93,RUB,,,400,400,23.797325
Mechel AP,MTLRP,Buy,2021-10-14,,Stock,MTLRP,-9316.37,RUB,,,30,30,310.5456667
Globaltrans,GLTR,Sell,2021-10-15,,Stock,GLTR,1180374.67,RUB,,,2000,2000,590.187335
En+ Group,ENPG,Buy,2021-10-15,,Stock,ENPG,-967560.86,RUB,,,1000,1000,967.56086
Mechel AP,MTLRP,Buy,2021-10-15,,Stock,MTLRP,-115737.92,RUB,,,370,370,312.8051892
Yatek,YAKG,Buy,2021-10-15,,Stock,YAKG,-95186.61,RUB,,,700,700,135.9808714
DVMP,FESH,Sell,2021-11-03,,Stock,FESH,123894.39,RUB,,,5000,5000,24.778878
En+ Group,ENPG,Buy,2021-11-03,,Stock,ENPG,-86112.94,RUB,,,100,100,861.1294
Yatek,YAKG,Buy,2021-11-05,,Stock,YAKG,-7103.89,RUB,,,50,50,142.0778
En+ Group,ENPG,Buy,2021-11-05,,Stock,ENPG,-32929.61,RUB,,,40,40,823.24025
,,PayIn,2021-11-23,,Currency,,40000,RUB,,,,,
Globaltrans,GLTR,Buy,2021-11-09,,Stock,GLTR,-12393.14,RUB,,,20,20,619.657
Yatek,YAKG,Buy,2021-11-09,,Stock,YAKG,-27684.9,RUB,,,200,200,138.4245
,,PayIn,2021-11-23,,Currency,,115000,RUB,,,,,
Mechel AP,MTLRP,Sell,2021-11-16,,Stock,MTLRP,63953.39,RUB,,,200,200,319.76695
En+ Group,ENPG,Buy,2021-11-16,,Stock,ENPG,-61970.72,RUB,,,70,70,885.296
Yatek,YAKG,Buy,2021-11-18,,Stock,YAKG,-2507.25,RUB,,,20,20,125.3625
Yatek,YAKG,Buy,2021-11-23,,Stock,YAKG,-3582.22,RUB,,,30,30,119.4073333
PAO Zil,ZILL,Buy,2021-11-23,,Stock,ZILL,-7922.13,RUB,,,2,2,3961.065
Globaltrans,GLTR,Sell,2021-11-23,,Stock,GLTR,11450.7,RUB,,,20,20,572.535
En+ Group,ENPG,Buy,2021-11-23,,Stock,ENPG,-106891.11,RUB,,,130,130,822.2393077
